report_number,classification,date,latitude,longitude
17331,Class A,2006-11-15,48.56704,-123.6171
18534,Class A,2007-03-30,49.26528,-125.3675
20415,Class A,1988-05-15,49.0922,-122.6089
21563,Class A,1974-07-15,49.73385,-119.8076
23245,Class A,2007-09-25,50.29765,-115.5743
24564,Class A,2008-10-02,48.35765,-123.3647
24806,Class A,1978-08-15,50.58304,-118.188
26050,Class A,1992-10-15,50.8604,-127.735
26765,Class A,1987-08-15,49.4085,-124.6929
28740,Class A,1993-07-30,49.41289,-116.5133
34822,Class A,1969-09-15,49.20805,-117.9636
2404,Class A,2005-03-14,50.25,-98.03333
8576,Class A,1976-09-15,50.5697,-96.17149
12335,Class A,1990-09-24,52.9884,-99.11815
12908,Class A,2005-04-16,54.245,-97.595
21795,Class A,1965-07-15,50.91725,-100.9129
35177,Class A,2007-05-19,53.99,-101.274
15343,Class A,2002-07-28,45.6746,-67.05334
17221,Class A,2006-06-06,45.98335,-64.4627
1615,Class A,1978-08-19,43.2114,-79.5985
5873,Class A,2007-02-10,45.01904,-79.1338
9516,Class A,2007-01-29,44.86073,-79.76308
10611,Class A,2007-01-29,49.16669,-81.00553
13267,Class A,1990-10-27,51.03445,-93.88194
13627,Class A,2007-01-17,43.62427,-80.60942
16807,Class A,2007-01-12,48.03027,-79.94618
16853,Class A,2007-01-27,44.53995,-75.63184
18077,Class A,2007-03-05,48.36266,-92.04907
20408,Class A,2007-07-22,49.40276,-94.02934
22821,Class A,2007-08-31,48.60385,-93.47855
23134,Class A,1986-07-05,52.6752,-94.5176
23171,Class A,2006-09-01,48.51035,-79.81129
24733,Class A,2008-08-15,44.61615,-76.4198
25857,Class A,1990-05-04,44.15255,-80.02915
31992,Class A,1964-06-15,44.30352,-80.66389
13061,Class A,1978-08-01,60.36933,-134.4837
16779,Class A,2009-03-31,60.69976,-135.1155
348,Class A,2000-08-20,37.57915,-105.4979
408,Class A,2000-08-26,39.67095,-105.8199
470,Class A,2000-08-23,39.1084,-107.0153
513,Class A,1971-07-15,40.79166,-105.9583
819,Class A,1999-09-11,38.8922,-105.1058
880,Class A,1998-09-28,39.21338,-105.0652
1075,Class A,1977-05-01,38.49833,-107.8833
1351,Class A,1994-06-01,37.30833,-106.4917
1352,Class A,1997-07-13,37.32255,-106.5123
1354,Class A,1997-09-02,39.42923,-104.9677
1355,Class A,2000-03-21,39.6632,-106.8085
1359,Class A,1997-11-01,38.8993,-104.9743
1361,Class A,1998-04-14,38.54166,-104.9908
1363,Class A,1994-10-23,39.18975,-106.4269
1366,Class A,1975-07-20,39.26944,-106.3833
1367,Class A,1990-08-10,40.57499,-105.3646
1368,Class A,1991-07-02,40.45418,-108.5417
1374,Class A,1998-07-25,37.75417,-107.7667
1376,Class A,1981-01-15,38.753,-105.1598
1760,Class A,1996-09-20,40.54167,-105.9333
2667,Class A,1995-06-15,39.24998,-106.2583
3086,Class A,2001-09-08,37.4625,-108.2083
3185,Class A,1987-10-26,38.4,-105.1167
3506,Class A,1999-12-15,38.6691,-104.8604
3606,Class A,1971-09-15,39.25,-106.3
3652,Class A,1998-09-19,39.32385,-106.2275
3653,Class A,2001-02-20,39.3375,-107.0671
3664,Class A,1996-06-26,40.4521,-106.6535
3710,Class A,2001-06-30,38.9006,-104.9917
4614,Class A,1994-05-15,37.5969,-105.4826
5493,Class A,2005-03-19,39.11636,-105.2155
5586,Class A,2003-04-11,37.025,-106.8583
5608,Class A,2005-04-12,37.09263,-104.3786
6782,Class A,2003-09-04,38.59998,-106.6417
6785,Class A,2002-05-29,39.0917,-106.4417
7036,Class A,2003-09-17,39.45824,-106.625
7225,Class A,2005-02-04,39.31667,-105.3542
7827,Class A,1994-09-15,38.875,-107.7084
10533,Class A,1977-07-04,38.826,-105.1146
13411,Class A,1995-11-01,40.00817,-105.298
13441,Class A,1979-06-13,39.0465,-105.2146
14243,Class A,2004-10-15,37.33925,-108.3364
14503,Class A,1999-05-15,39.16305,-107.9514
14814,Class A,1998-07-25,38.0654,-105.1137
15273,Class A,1964-08-01,40.17585,-105.3792
15278,Class A,2006-05-15,38.5859,-104.9426
15588,Class A,1971-06-30,39.7198,-106.1666
15630,Class A,1989-04-01,37.83905,-107.7247
17767,Class A,1986-07-17,38.716,-104.875
22801,Class A,2002-12-15,39.39565,-105.7854
26522,Class A,2009-09-01,39.1006,-106.5445
26671,Class A,2009-09-22,40.84707,-105.6385
27057,Class A,2009-06-10,37.37285,-106.496
31939,Class A,2010-08-15,38.83714,-106.199
32905,Class A,2008-06-30,37.70338,-107.7015
35596,Class A,2012-05-29,39.40589,-105.475
39520,Class A,2013-01-17,39.37357,-107.0596
42602,Class A,2012-06-13,39.80777,-106.3023
16408,Class A,1953-08-01,41.36935,-73.1512
115,Class A,1976-08-15,30.98555,-85.6489
246,Class A,1994-12-18,30.6645,-84.60745
414,Class A,1974-07-15,26.5931,-80.21295
445,Class A,1962-08-15,27.0047,-82.0332
446,Class A,2000-09-22,30.2333,-81.52915
591,Class A,1989-09-15,28.3725,-80.8595
592,Class A,1975-01-15,26.27395,-80.1937
594,Class A,1980-07-15,26.08285,-80.21025
606,Class A,1986-08-15,30.05705,-81.75165
607,Class A,1983-11-19,26.15915,-81.76041
720,Class A,1993-11-20,26.06885,-80.8368
721,Class A,1997-07-17,25.91695,-81.29691
722,Class A,1998-02-09,29.6699,-82.98365
723,Class A,1969-06-15,28.50665,-82.50591
724,Class A,1990-08-15,30.8724,-85.217
725,Class A,1980-07-02,29.10635,-81.62275
726,Class A,1977-10-05,29.0599,-82.05835
728,Class A,1977-11-15,29.1951,-81.90875
729,Class A,1997-07-25,29.19395,-81.9233
730,Class A,1996-09-15,30.51295,-86.5065
731,Class A,1999-03-13,28.3609,-80.93504
733,Class A,1998-11-22,27.97255,-81.12476
734,Class A,1999-05-21,28.1382,-81.0621
736,Class A,1999-01-02,27.99245,-81.19445
737,Class A,1984-06-15,28.3836,-82.6053
746,Class A,1989-04-17,28.85025,-80.93919
989,Class A,1982-01-15,30.84015,-86.9648
1003,Class A,1984-10-15,29.85375,-81.3456
1021,Class A,1971-07-15,29.7351,-81.96195
1030,Class A,1973-08-23,26.59885,-81.8708
1061,Class A,1984-06-16,27.7068,-82.45165
1275,Class A,1980-04-15,28.6901,-81.5446
1407,Class A,1991-06-15,29.4179,-82.55556
2566,Class A,1985-09-29,29.77535,-82.3657
2657,Class A,1974-08-15,29.47035,-81.1273
2856,Class A,2004-02-21,26.01535,-81.0651
4795,Class A,1947-07-01,29.77295,-81.68295
5369,Class A,2004-08-02,27.0099,-80.13215
5702,Class A,2001-12-31,30.4836,-84.20835
5801,Class A,1994-04-15,30.9905,-87.1814
5884,Class A,2003-02-18,30.7599,-85.76891
6708,Class A,2004-02-17,28.5716,-82.52655
7205,Class A,1979-08-01,25.8972,-81.3065
7904,Class A,2004-01-18,27.3973,-80.8044
8316,Class A,2004-03-18,29.98085,-81.80005
8514,Class A,1994-03-01,30.4544,-81.4189
9113,Class A,2000-06-01,30.56775,-86.6913
9174,Class A,2004-08-08,30.4664,-85.6316
9282,Class A,2004-12-03,29.07655,-81.9055
9545,Class A,1988-12-01,30.9854,-85.95136
10855,Class A,1998-11-01,29.591,-82.929
10867,Class A,1981-08-07,27.28518,-82.46557
11762,Class A,1982-02-01,26.61979,-80.60976
11812,Class A,1974-09-01,28.00845,-81.93871
12587,Class A,1988-08-01,27.099,-82.454
12732,Class A,2004-10-12,27.89469,-81.9742
12921,Class A,2000-01-01,29.098,-82.42
13034,Class A,1955-01-01,28.043,-82.438
13298,Class A,2005-09-18,30.587,-84.583
13514,Class A,2005-06-02,25.927,-81.33
14021,Class A,2006-03-04,27.37341,-81.35876
14118,Class A,1985-11-01,28.775,-81.6965
14354,Class A,2003-07-01,30.069,-81.771
14457,Class A,2000-10-01,29.191,-82.6505
15170,Class A,2006-03-01,25.141,-80.926
15361,Class A,2006-07-27,28.252,-82.44749
16303,Class A,2001-10-15,26.0079,-81.22285
16473,Class A,2006-11-01,30.3125,-82.879
16683,Class A,1975-11-01,30.2809,-81.83705
16727,Class A,2006-11-17,30.05287,-81.82794
17644,Class A,2005-09-01,29.1039,-82.3722
18065,Class A,2007-03-04,30.10139,-81.88324
18427,Class A,2007-03-29,30.03432,-81.90216
19958,Class A,2007-07-12,28.78028,-81.90477
20940,Class A,2000-08-01,30.23693,-81.54172
21658,Class A,2007-08-11,30.10386,-81.89565
21879,Class A,2005-06-15,30.11584,-81.94118
21951,Class A,1977-11-15,25.51665,-80.43689
23076,Class A,2004-06-15,29.43465,-81.80878
23120,Class A,2006-07-15,29.3143,-81.7268
23247,Class A,1985-05-15,29.93629,-85.3948
23696,Class A,1993-05-01,28.86151,-81.7757
24032,Class A,1978-01-01,27.7752,-81.9755
24078,Class A,2008-02-15,30.10851,-81.89905
24656,Class A,2008-09-01,25.95574,-81.48598
25582,Class A,2009-03-05,28.19899,-82.76431
26377,Class A,2001-01-13,28.14617,-82.24487
26581,Class A,1982-01-01,28.29425,-82.71758
26823,Class A,2009-10-18,28.44926,-81.95577
27076,Class A,2000-06-13,29.58358,-82.33316
27250,Class A,1981-08-28,29.47368,-82.6783
27347,Class A,2009-11-18,30.08748,-81.85762
28200,Class A,2009-10-10,28.44926,-81.95577
28237,Class A,2010-09-05,28.50566,-81.97483
28355,Class A,2009-12-15,29.94011,-81.91354
28418,Class A,1991-08-14,29.39384,-82.44225
28634,Class A,2010-12-19,30.6966,-86.7513
29529,Class A,2011-04-15,28.93312,-80.84301
29565,Class A,2010-09-16,28.78812,-82.40295
29624,Class A,1998-06-22,28.31193,-80.7217
30547,Class A,2008-03-15,29.36953,-81.86789
30679,Class A,2011-09-17,28.48899,-80.84716
30929,Class A,2003-06-14,26.80829,-80.16933
31745,Class A,2011-07-02,29.83863,-81.2299
31801,Class A,2011-09-17,30.71362,-85.20786
32203,Class A,2011-10-22,29.28971,-81.52609
32249,Class A,2007-04-10,28.85982,-81.48534
32426,Class A,2012-01-21,27.78042,-80.55011
32746,Class A,2000-02-28,28.54205,-81.20045
33764,Class A,2012-02-21,29.16722,-82.01917
33789,Class A,1990-11-23,28.20954,-80.83882
34954,Class A,2012-01-15,29.05872,-81.4819
35270,Class A,2006-03-15,26.85451,-81.71583
35529,Class A,2010-06-07,29.49577,-81.74579
36218,Class A,1995-03-15,25.39544,-80.59502
37203,Class A,2012-11-04,25.76119,-80.58182
37275,Class A,2012-11-11,28.99496,-81.59869
37304,Class A,1972-07-29,28.62323,-81.12898
38924,Class A,2009-09-14,26.67822,-81.81697
39080,Class A,2012-12-08,30.71004,-82.0443
40034,Class A,1985-05-25,29.33246,-81.12292
40618,Class A,2013-03-24,30.54079,-84.91096
40784,Class A,1975-08-01,30.40785,-83.96767
40935,Class A,2013-04-13,29.42016,-82.82335
41448,Class A,2012-03-29,27.66726,-82.43094
41503,Class A,2012-06-12,29.97917,-81.85223
41995,Class A,1963-09-15,29.67757,-82.35501
44837,Class A,1974-07-20,26.05091,-80.29457
45137,Class A,2001-01-20,26.9745,-82.1475
47378,Class A,1977-10-21,28.09538,-82.74918
49084,Class A,1975-06-20,25.54494,-80.47805
49326,Class A,2011-10-15,30.37369,-83.1736
398,Class A,2005-01-31,33.26885,-85.12705
447,Class A,1974-06-15,34,-85
1864,Class A,1993-11-03,34.28745,-84.59345
2218,Class A,1979-12-01,33.3646,-82.24471
2219,Class A,1978-06-15,34.6423,-83.4192
2220,Class A,2000-08-30,32.0538,-85.0409
2279,Class A,1982-06-15,31.8792,-81.88475
2393,Class A,1985-09-15,34.70435,-84.2269
4393,Class A,2002-06-10,30.67,-83.412
5395,Class A,1998-10-15,31.82345,-81.73075
6097,Class A,1961-09-01,33.70037,-84.53352
7113,Class A,2003-10-26,33.5388,-84.869
7237,Class A,1999-11-25,34.672,-83.714
8405,Class A,1963-07-04,31.08925,-81.41267
8454,Class A,2004-04-01,32.38575,-82.24886
9465,Class A,2005-07-14,34.68319,-83.69085
9712,Class A,1984-07-15,33.32442,-84.2532
9818,Class A,1998-05-23,34.74775,-83.48067
10874,Class A,1986-10-11,31.2439,-82.1341
14525,Class A,1976-10-08,31.24842,-83.13654
15457,Class A,2006-08-29,33.48295,-84.7681
17089,Class A,1998-11-12,32.0391,-81.436
18016,Class A,2006-06-16,33.80785,-84.78979
18044,Class A,2007-02-27,33.81029,-84.97515
18707,Class A,1992-07-11,31.43265,-84.1293
19421,Class A,2006-09-01,34.1318,-84.73846
21193,Class A,2007-08-01,34.48287,-84.5136
21359,Class A,2007-09-08,34.42654,-85.31646
21402,Class A,1980-07-01,34.64145,-83.80404
23911,Class A,2007-10-15,34.39965,-84.383
24125,Class A,2008-07-02,31.17384,-83.26071
25043,Class A,2001-10-15,34.8155,-84.58501
26201,Class A,2000-06-01,34.06705,-82.86789
26262,Class A,2009-06-28,34.31955,-84.48006
26313,Class A,2009-07-17,33.49565,-84.5317
26352,Class A,2007-10-13,33.2706,-84.73555
26822,Class A,2009-10-07,30.83105,-82.6386
27072,Class A,2008-11-23,31.46641,-81.64665
27197,Class A,2010-01-12,34.8243,-84.72352
27300,Class A,2009-08-15,31.18562,-83.66153
27888,Class A,1957-07-15,32.86288,-83.55708
28526,Class A,2004-07-15,31.9853,-81.61756
28637,Class A,1993-05-15,34.7673,-83.77811
29326,Class A,1994-05-15,34.84161,-83.94456
30004,Class A,2005-10-10,34.17521,-85.18678
30135,Class A,1960-11-04,32.96854,-85.02602
31888,Class A,2004-10-22,33.34677,-83.90588
32435,Class A,1978-06-07,32.2462,-84.08932
32489,Class A,2011-11-09,31.35289,-83.08486
33115,Class A,1986-06-15,33.46372,-83.61285
36006,Class A,1976-06-15,34.36153,-83.87177
38870,Class A,2004-05-15,34.03528,-84.83903
38873,Class A,2012-07-15,34.05198,-85.16238
46328,Class A,2009-03-30,34.66467,-83.71705
48086,Class A,2011-10-19,33.94979,-84.82338
56752,Class A,1986-06-11,32.30676,-83.16122
59113,Class A,2000-06-15,31.08012,-83.16414
511,Class A,2000-10-24,41.3675,-92.9008
1046,Class A,2000-11-25,42.47806,-93.82007
1197,Class A,1978-11-15,41.59377,-93.974
1234,Class A,1970-08-15,43.078,-91.3867
1268,Class A,1978-09-12,42.8674,-94.356
1270,Class A,1975-10-28,40.995,-91.75205
1271,Class A,2000-02-15,41.62183,-93.63804
1274,Class A,1997-08-09,42.50817,-96.40213
1554,Class A,2000-06-14,40.59604,-93.77783
1630,Class A,1977-08-01,43.17215,-92.76577
2170,Class A,2001-04-02,42.72063,-94.22206
2264,Class A,1983-07-15,42.0152,-94.3677
3093,Class A,2001-09-01,42.73854,-93.22192
4011,Class A,1970-11-30,42.7525,-91.8043
9089,Class A,2004-09-12,42.28422,-91.68192
22147,Class A,1991-09-15,40.8348,-93.85965
23489,Class A,2007-11-22,41.461,-94.045
25071,Class A,2007-11-07,42.4104,-90.66615
25084,Class A,2006-11-15,41.47445,-91.74585
30530,Class A,2011-08-31,42.55997,-90.76557
58414,Class A,1982-11-13,41.52387,-93.4371
1796,Class A,1983-09-04,42.5149,-111.1241
