time,shape,duration_hours_min,date,latitude,longitude
10:35:00 PM,triangle,1-2 minutes,1/22/00,43.3872222,-87.8755556
3:00:00 AM,triangle,15 to 30 sec,2/16/00,47.48739,-117.575762
7:20:00 PM,light,2 min.,4/1/00,36.1127778,-89.2616667
7:30:00 PM,triangle,3 seconds,12/2/00,43.15,-79.5
9:00:00 PM,sphere,usually 2 hours,12/2/00,33.4483333,-112.0733333
1:30:00 AM,circle,< sec,12/2/00,43.866667,-78.933333
1:35:00 AM,fireball,8 seconds,12/2/00,42.2138889,-83.1938889
5:52:00 PM,diamond,5 minutes,12/2/00,33.7669444,-118.1883333
6:30:00 PM,light,1 minute,12/2/00,51.514125,-0.093689
8:00:00 PM,egg,10 minutes,12/2/00,41.0036111,-80.3472222
12:22:00 PM,fireball,10 minutes,12/2/00,41.9483333,-71.9744444
6:10:00 PM,light,20 seconds,12/2/00,42.5847222,-87.8211111
11:55:00 PM,disk,2 minutes,12/2/00,40.7241667,-73.7155556
2:17:00 AM,light,30 sec,12/2/00,45.416667,-75.7
7:55:00 AM,teardrop,5 min approx.,12/2/00,46.216667,-63.483333
2:00:00 PM,cigar,10 mins,7/11/00,35.2269444,-80.8433333
8:25:00 PM,cylinder,25 min,4/15/00,-37.813938,144.963425
7:00:00 PM,other,5sec,12/2/00,29.9402778,-91.0247222
7:00:00 PM,light,60 min&#44 +,12/2/00,40.1525,-106.9080556
7:45:00 PM,diamond,milisecod,12/2/00,26.1719444,-80.1322222
8:30:00 PM,light,10 minutes,12/2/00,40.8022222,-124.1625
9:00:00 PM,diamond,hours,12/2/00,32.2216667,-110.9258333
3:00:00 AM,NULL,5-6 min,7/23/00,40.3211111,-79.3797222
8:25:00 PM,other,10 seconds,12/2/00,26.525,-80.0666667
8:43:00 PM,fireball,10 min,12/2/00,26.7080556,-80.2308333
8:45:00 PM,circle,10 to 15 seconds,12/2/00,47.6063889,-122.3308333
8:45:00 PM,unknown,less than 1 mn,12/2/00,49.25,-123.133333
12:15:00 AM,circle,5 - 10 minutes,12/2/00,43.866667,-79.033333
5:28:00 AM,NULL,2sec,12/2/00,34.9244444,-80.7436111
6:30:00 AM,cigar,20-30 sec,12/2/00,35.040269,-84.730186
7:40:00 AM,sphere,2-3 minutes,12/2/00,40.7608333,-111.8902778
8:00:00 PM,light,4 seconds,12/2/00,42.3708333,-72.5986111
8:00:00 PM,unknown,1 to 2 seconds,12/2/00,53.516667,-113.316667
9:30:00 PM,sphere,2 minutes,12/2/00,-36.2,146.966667
9:00:00 PM,other,2 seconds,3/16/00,44.9444444,-93.0930556
2:00:00 AM,diamond,3 minutes,2/16/00,35.0844444,-106.6505556
9:30:00 PM,changing,15-20 minutes,12/2/00,47.6588889,-117.425
10:00:00 PM,fireball,25 seconds,9/17/00,42.3266667,-122.8744444
11:00:00 PM,other,30-40 seconds,2/16/00,40.3930556,-90.1547222
1:30:00 AM,triangle,2-3 min.,12/2/00,42.5291667,-85.8552778
7:50:00 AM,unknown,5 minutes,12/2/00,42.7325,-84.5555556
12:00:00 PM,NULL,5minutes,12/2/00,38.70217,-90.168279
8:20:00 PM,triangle,10 seconds,12/2/00,53.583333,-0.65
8:45:00 PM,disk,1 minute,12/2/00,40.7555556,-73.5880556
9:00:00 PM,light,5hours,12/2/00,42.5847222,-87.8211111
11:00:00 PM,diamond,3 seconds,12/9/00,52.016667,-4.833333
